caption,file_name_1,file_name_2,file_name_3,file_name_4,file_name_5,file_name_6,file_name_7,file_name_8,file_name_9,file_name_10
A radio station playing music with a poor and  distorted signals.,fm-radio-tuning-sweeps.wav,Electromagnetic Waves on a Macbook Pro.wav,radio_am_01.wav,Voktebef_I&#39;m not sure if I&#39;m here.wav,bitmapnoise3.wav,popibuuns.wav,Tone Shift.wav,telefono_en_espera.wav,refrigerator buzzing.wav,Alien junkyard.wav
Water slowly and then quickly drops into a container of water.,gotes mig.wav,gotes lent.wav,"Water - Leak, small.wav",sink1.wav,WATER DRIP 2 ECHO LOW PITCH.wav,gully with water drips.wav,lavar platos.wav,Water plopping in pulling out small object.wav,WaterRunning.wav,Dribbling water Edited.wav
"Reeling in a fishing pole, regular thumping in the background.",20060129.scrub.04.wav,Walking on Wood Floor.wav,Footsteps Dirt 02.wav,Footsteps on Wood floor 1.wav,3 persons walking slowly on grass noisy ambient 2.wav,footsteps_pebble_each_01.wav,plastic foil (outdoor recording).wav,Foley Man Collapsing.wav,20060510.walk.scrub.wav,Walking Downstairs.wav
A man is speaking  and keep silence to end.,Hair Clippers 2.wav,Outside UU FSW 080701.wav,Inside Car Ambience Next to School More Quiet Version.wav,CFX-20130329-UK-DorsetRoomTone03.wav,gaunermarkt_werbung.wav,cigarette_lighter.wav,indoors ambient room tone.wav,Ball and Tennis Racket_01.wav,110420-001_openair_cafe_karlsruhe_Schlosscafe.wav,Sound_FX_dishmachine_digital.wav
A machine is whirring constantly as another one screeches as time goes on.,kitchen refrigerator working.wav,refrigerator buzzing.wav,ambiant hangar sound.wav,JM_MACHINE_Coffee Machine 01 - Office.wav,bath room fan.wav,Apartment Ambiance 2.wav,departing_train.wav,dumpster truck.wav,JM_NOIZ_Buzz 01 - Neon Light.wav,indoors WC bathroom ambient room tone.wav
Birds are singing with high pitched chirps as traffic moves on a nearby road.,Neighbourhood Ambiance.wav,Birds and Nature.wav,spider_monkeys.wav,ambient_sound.wav,The Commons.wav,street.wav,Small italian village - Quite afternoon.wav,Morning Ambience city.wav,Sk310308 chaffinch crow.wav,An English Country Garden in July.wav
Birds chirp in a loop of ascending then flat tones.,Birds and Nature.wav,screech_owl.wav,ambient_sound.wav,spider_monkeys.wav,Sk310308 chaffinch crow.wav,20060607.bird.gone.nuts.wav,Birds of Noosa Biosphere Reserve.wav,Rain And Birds Chirping Krucifix Productions Sound Effects.wav,nightbird.wav,20070628.casual.ambiance.wav
Rain and water are dripping from a rooftop.,RainFallsThruTinGutterMcCoy.wav,Fountain at place pigale - Paris - France.wav,WATER SHOWER 001.wav,13_Rain_onGrassStone_Gutter_44_16.wav,Rain_Patter_01.wav,"Rain next to open window, dog barks in the distance.wav","Wind in a tree, close to the foliage.wav",Rain 02 091012.wav,20100110.rain.marshes.wav,Heavy wind and rain.wav
a baby is crying because he wants is dummy.,Asher.wav,mau2.wav,stan_laughing_12292012.wav,cat_door.wav,dog howl in woods.wav,"Call to Prayer, Old Dehli.wav",city pond ducks yell.wav,Wailing Wind.wav,sheep calling her baby lambs.wav,20080302.sheeps.close.wav
"A man makes some weird sounds, stops after a bleep and then continues in a fading tone.",Hair Clippers 2.wav,Short circuit.wav,telefono_en_espera.wav,BRITISH PHONE.wav,door sound.wav,sheep calling her baby lambs.wav,Interference3.wav,Vocal Strain - Unprocessed.wav,Bell7.wav,IRON_SLIDE.wav
A large machine is being turned on that makes a deep vibrating sound and then it gets turned off.,refrigerator buzzing.wav,ambiant hangar sound.wav,dumpster truck.wav,Microwave 01.wav,washing_machine_beginning.wav,bath room fan.wav,014_House_Fan.wav,Interference3.wav,WM_drain_pre_spin_cycle_24_96_mono.wav,office.refrigerator.wav
Heavy traffic is driving by and something is periodically making a high pitched screech.,stoplight.wav,german motorway or the autobahn.wav,tata_hungary__ady_endre_road_20080718.wav,Diesel truck and small car.wav,"Sredniy Nikolopeskovsky lane, evening ambiance.wav",traffic_night_street.wav,Japan_Yukinoura_Bamboo_Forest_and_Road_.wav,110719_glasgowdemolish.wav,Neighbourhood Ambiance.wav,street.wav
A baby is crying in the background for milk.,Asher.wav,mau2.wav,cat_door.wav,stan_laughing_12292012.wav,grilla_garden_ambience.wav,01451 war scene arrangement 1.wav,ambience_rural_house_outdoors_noon.wav,Squeaky Windshield Wipers.wav,tile-scrape-flange1.wav,"Call to Prayer, Old Dehli.wav"
Machinery is running outside on a busy city street.,Roof with fans.wav,City Street.wav,WM_drain_pre_spin_cycle_24_96_mono.wav,NY 176andSt.Nicholas AMB.wav,Apartment Ambiance 2.wav,20091217.05.street.cleaning.wav,110719_glasgowdemolish.wav,"Sredniy Nikolopeskovsky lane, evening ambiance.wav",indoors empty bar noisy ambient 2.wav,traffic from inside an apartment.wav
Monkey is shouting at peoples on a zoo.,City Traffic (Outdoor).wav,sparrows_berlin.wav,city park Tel Aviv.wav,swifts 2.wav,Ambient noise Kauai.wav,Tokyo-cicadas.wav,korea_flohmarkt.wav,AMB_CityPark_Day_Seagull_People.wav,firenze_kids_churchyard.wav,Birds and Nature.wav
Rain drops and a person walks while others talk and birds chirp in the background.,rainy alleyway.wav,maastricht town sounds.wav,Covent_Garden_rain_5.wav,Rain 02 091012.wav,Heavy wind and rain.wav,The Commons.wav,20091217.20.pedestrians.wav,noise pollution in a city park.wav,rainy morning in town.wav,UoA_PJ120202_HighStAlleyEch.wav
someone ripping one sheet of paper over and over.,Washing short hair.wav,footsteps_pebble_each_01.wav,Melon Stabs (Juicy).wav,Brushing Hair.wav,md1trk18.wav,Clothing Rubbing Foley Sound.wav,envelope.wav,HeavySkirtMovement.wav,BodyDrag2.wav,3 persons walking slowly on grass noisy ambient 2.wav
A man is conducting an interview and asking question to the another man.,IRON_SLIDE.wav,foley noisy chair moving standing up different speed.wav,md1trk13.wav,Wailing Wind.wav,rutting deer 2.wav,Foley Man Collapsing.wav,zippers02.wav,indoors dorm dormitory ambient room tone closed window distant noises neighbours.wav,Drinking Water and refreshing sigh.wav,"Call to Prayer, Old Dehli.wav"
The bell is ringing continuously in the church during prayer time.,20101118.omnium.sanctorum.wav,Carillon Servaas Church 100411.wav,20060730.bells.wav,Lisbon&#39;s church.wav,Marble Church.wav,20090419.san.pedro.bells.wav,church bell_ljubljana.wav,1167church_clock_striking_ten.wav,Inside Servaas Church 01 100411.wav,templebell.wav
A person is eating chips in his sofa.,Through Slime.wav,Chewing_Fx.wav,gravel walking.wav,cat food.wav,coffee Elite opening.wav,AlexandreJourdan_2013_s2.wav,walking on lava.wav,160170_Gravel_OWI.wav,20060129.scrub.04.wav,Melon Stabs (Juicy).wav
someone running while a car drove passed him.,City Street.wav,110719_glasgowdemolish.wav,NY 176andSt.Nicholas AMB.wav,indoors empty bar noisy ambient 2.wav,130916 General Paz y Panamericana.wav,Diesel truck and small car.wav,Ambience - Quiet Train.wav,erilee_tram_over_bridge.wav,Roof with fans.wav,Rural nightfall atmos.wav
"Dragging, scraping noises across wood, also several loud footsteps.",Walking on Wood Floor.wav,door walking exit.wav,foley noisy chair moving standing up different speed.wav,footsteps_pebble_each_01.wav,"Footsteps, slippers dragging on tile.wav",Walking Downstairs.wav,Foley Man Collapsing.wav,Washing short hair.wav,walk_hard_snow.wav,Rolling Chair.wav
Someone is looking at a photo album and turned three pages of it.,Melon Stabs (Juicy).wav,AlexandreJourdan_2013_s2.wav,Pills .wav,Paper_Tear_Fx.wav,Zipper sounds.wav,160170_Gravel_OWI.wav,footsteps_pebble_each_01.wav,Brushing Hair.wav,Smoke.wav,walk_hard_snow.wav
A vehicle is moving and a  man who is onboard leads with a song  and others joins in.,erilee_tram_over_bridge.wav,Subway to Namba St. .wav,Cityscape 02 100208.wav,130916 General Paz y Panamericana.wav,London Bus.wav,street.wav,Ousman Ramble.wav,Ambience - Quiet Train.wav,20100806.stockholm.street.ambiance.wav,02-BikeDemo_Chimes_Speak.wav
lots of different animals and birds are making noise in the wood.,spider_monkeys.wav,An English Country Garden in July.wav,Neighbourhood Ambiance.wav,Birds and Nature.wav,Cicada.1.45.wav,pineforest winter NL SHORT 130110_00.wav,Helicopter and crows passing overhead.wav,Small italian village - Quite afternoon.wav,Ambient noise Kauai.wav,Buzzbees.wav
A click noise is made then complete silence.,The Great Outdoors of Kortepohja.wav,indoors dorm dormitory ambient room tone closed window distant noises neighbours.wav,rockonice.wav,soda can_pop.wav,thunder002.wav,natural_wind.wav,Fire Crackle with Roaring Chimney.wav,HARDWARE STORE ROOMTONE.wav,Footsteps on Wood floor 1.wav,thunder wind 02.wav
someone is rapping with his mouth making beats.,Wailing Wind.wav,Urban owl hoot.wav,indoors dorm dormitory ambient room tone closed window distant noises neighbours.wav,md1trk13.wav,Help Me.wav,outdoors ambient distant village 2.wav,Foley Man Collapsing.wav,CFX-20130329-UK-DorsetRoomTone03.wav,AMB_traffic_night_distant_02.wav,foley noisy chair moving standing up different speed.wav
Soft music changing to a loud different tone.,resonante bass ring-15.J.wav,Voktebef_I&#39;m not sure if I&#39;m here.wav,Pad_1_w_melody.wav,"wind, basement, dripping water.wav",radio_am_01.wav,thebit2.wav,ambientBell.wav,Hair Clippers 2.wav,PipeWork.wav,earthkiller background 1.wav
Two to three person cross the river in very fast.,Loch-Ness-At-night.wav,river_small_close_01.wav,burton_waterfall_02.wav,WS RunningWater.wav,Stream Running Into Pond.wav,Creek Running water.wav,creekclose.wav,Water on tarp 2.wav,131227_strumyk_2.wav,Footsteps Water 01.wav
Sea waves approaching a sea show at intervals.,Sea Waves Splash the Beach on the Isle of Wight Coast.wav,Waves near the dock.wav,Pirita Storm waves06.12.2015.wav,waves recording.wav,Wind in trees-force8-night.wav,CP_Whipping_Wind_Storm_Medium01.wav,CFX-20130331-UK-DorsetSeaBeach02.wav,Siberian Weather Front 5 PM 110304.wav,Storm wind.wav,CFX-20130331-UK-DorsetHarbour02.wav
A radio playing orchestra music with a very loud voice.,fm-radio-tuning-sweeps.wav,vendedor_ambulante.wav,Sao_Paulo_Liberdade_Forro_2014_10_12.wav,chicago police scanner.wav,Electromagnetic Waves on a Macbook Pro.wav,GORAZD_0075_Omori_Pachinko.wav,times_square.wav,20110823_mountain.01.wav,static choppy 1400 kHz.wav,radio_am_01.wav
"Wind is swooshing, people chatting and birds chirping in the background.",09-07-15_2053_Small place near metro station Faria Guimaraes in the evening.wav,pineforest winter NL SHORT 130110_00.wav,bebops_wind2.wav,Omni_Ambiental_ParkingLot.wav,outdoors ambient distant village 2.wav,street.wav,dog howl in woods.wav,Desert at Night.wav,Inside Car Ambience Next to School More Quiet Version.wav,AMB_traffic_night_distant_02.wav
"A machine or engine is running at a constant speed, making an engine-idling sound.",refrigerator buzzing.wav,20091217.05.street.cleaning.wav,bath room fan.wav,WM_drain_pre_spin_cycle_24_96_mono.wav,Diesel train arrives and departs 1.wav,kitchen refrigerator working.wav,ambiant hangar sound.wav,Microwave 01.wav,car moving 01.wav,dumpster truck.wav
Rain is falling on the ground with a normal speed.,Fountain at place pigale - Paris - France.wav,"Wind in a tree, close to the foliage.wav",RainFallsonUmbrellaMcCoy.wav,"Rain next to open window, dog barks in the distance.wav",Heavy Rain tin roof.wav,Rain 02 091012.wav,Heavy wind and rain.wav,White Water.wav,13_Rain_onGrassStone_Gutter_44_16.wav,RainFallsThruTinGutterMcCoy.wav
A  family is talking and playing in a park.,people chatting background.wav,Kurla local train station Mumbai (1).wav,korea_flohmarkt.wav,PS3F_FOZ_centro_Mufato_anuncio2_tarde.wav,begin-metro-BCN.wav,shopper_atmos.wav,Ambience outside a series of restaurants.wav,Twee dozen aardbeien.wav,20110212_mercado.05.wav,110420-001_openair_cafe_karlsruhe_Schlosscafe.wav
"beautiful, spiritual and relaxing music is playing in a church.",church_bell_song.wav,NEW INTRO FEB 2012 TDAR.wav,popibuuns.wav,church organ 2.wav,PipeWork.wav,Voktebef_I&#39;m not sure if I&#39;m here.wav,Inside Servaas Church 01 100411.wav,crossing bells.wav,1167church_clock_striking_ten.wav,Pad_1_w_melody.wav
"A person is in process of searching something, thus picking many stuff and keeping back.",indoors house ambient living room tone distant neighbours and traffic.wav,indoors ambient room tone 1.wav,InsideBus.wav,Wailing Wind.wav,NY 176andSt.Nicholas AMB.wav,traffic from inside an apartment.wav,City Street.wav,lift_relais.wav,ambiant hangar sound.wav,windy day indoors windows rattle.wav
"A group of people are chanting at a protest, some people are using a megaphone to repeat the phrase.",20110212_mercado.05.wav,jf Resonant Space.wav,wien_demo.wav,Bar atmosphere - Not So Busy.wav,16 coffee shop ambience.wav,"Call to Prayer, Old Dehli.wav",110420-001_openair_cafe_karlsruhe_Schlosscafe.wav,Busy Dining Room Atmos.wav,Portugese Fish Market.wav,ChurchProcession.wav
An container with objects is being shaken around making noise.,Wheat ears shaken.wav,Pills02.wav,md1trk13.wav,Mascara.wav,Remulada.wav,Pecan nuts cracked open.wav,Fire crackling.wav,stretch .wav,150209 Trevor Webb Teeth Brushing.wav,Filing Nail.wav
Pieces of metal make clattering sounds as they are dropped in a glass jar.,Glasses Kitchen_IO.wav,Bell from large rabbit plush.wav,metallic_crackle.wav,bruits.chute.petite.urne.gravillons.wav,Tool Box.wav,object falls on wood.wav,md3trk14.wav,Key Jingling.wav,Rustling keys.wav,abandoned-ballroom-objects-wood-metal.wav
"A ball bouncing loudly and then softer, but continuously.",echo_ljubljana_castle.wav,Door pounding - increasing intensity.wav,foley footsteps walking in room indoors.wav,strange sounding firework rocket explosions.wav,Footsteps Dirt 02.wav,20150712_underground.parking.wav,door walking exit.wav,pukanie1.wav,playing chess.wav,Hammering_Empty tank_large_CLOSE.wav
high-pitched ethereal sound that occasionally changes tone.,PlanetaryAndXporterSingleLoop_STTOS_recreated.wav,Synth Wind.wav,resonante bass ring-15.J.wav,treinREM2.wav,Tone Shift.wav,Underground Parking Ambience.wav,departing_train.wav,crossing bells.wav,kitchen refrigerator working.wav,Spooky Atmosphere.wav
In a grinder grinds things and it working fast as fast.,JM_MACHINE_Coffee Machine 01 - Office.wav,25_MIXER.wav,Espresso Machine.wav,kitchen refrigerator working.wav,Coffee Machine - Brew 1.wav,dremmel-noise2.wav,sd_coffee3.wav,Electromagnetic Waves on a Macbook Pro.wav,Interference3.wav,Machine.wav
"Two women talk, while a car engine revs, drowning out their voices.",Ousman Ramble.wav,Oxford Cambridge boat race 2010.wav,Tea Garden Outside Ambience.wav,Subway to Namba St. .wav,20100806.stockholm.street.ambiance.wav,Cityscape 02 100208.wav,Place Pigalle ambience Paris.wav,130916 General Paz y Panamericana.wav,Crossroads with traffic lights #1.wav,Street scene in Bangkok.wav
a child asking loudly for her need and another one woman is responding.,Next To School in Street Ambience.wav,city pond ducks yell.wav,city park Tel Aviv.wav,stenochscentre.wav,firenze_kids_churchyard.wav,grilla_garden_ambience.wav,09-07-15_2053_Small place near metro station Faria Guimaraes in the evening.wav,stanley_and_reese_bath_03.wav,16 coffee shop ambience.wav,Kids GardenHose 130723_02.wav
2 frogs are copulating and talking to each other.,2_frogs_qinghua.wav,alabamaFrogs.wav,Clark&#39;s Nutcrackers 01.wav,FR.CTC.08.CoyuyoS.006.wav,Cicada 1.wav,disquetera3.wav,Birds and insects in the wetlands of Melissant.wav,20060804.marshes.cricket02.wav,Espresso Machine.wav,Cricket2.wav
a bag of chips being closed up and then a cabinet being opened and closed.,bread_in_toaster.wav,envelope.wav,160170_Gravel_OWI.wav,footsteps_pebble_each_01.wav,Paper_Tear_Fx.wav,Match being lit.wav,Melon Stabs (Juicy).wav,Footsteps on Crunchy Snow.wav,Fire crackling.wav,Eating a TicTac.wav
Water dripping into a water bowl with bird noises.,gotes lent.wav,Waterflow_Ib.wav,WaterRunning.wav,drainage pipe running.wav,forest stream ambiance.wav,gotes mig.wav,gully with water drips.wav,Rain_Patter_01.wav,"Water - Leak, small.wav",Water on tarp 2.wav
Quiet flick then a pause another flick then constant flicking.,Microwave1.wav,dishwasher01.wav,Toilet Flush Krucifix Productions Sound Effects.wav,Opening a Mysterious Trunk.wav,ambiant hangar sound.wav,Fan noise.wav,gotes mig.wav,raindrops on metal_police background.wav,sink1.wav,Gas Door.wav
Someone is cutting plant using plant cutter in his garden.,3 persons walking slowly on grass noisy ambient 2.wav,Achter de Stekke .wav,steps in the station.wav,footsteps_pebble_each_01.wav,20091226.squeaky.door.wav,plastic foil (outdoor recording).wav,abandoned-ballroom-objects-wood-metal.wav,rutting deer 2.wav,nxSample-158.wav,Pushing Trolley.wav
A rainstorm is going and the windows are hitting the house.,Heavy wind and rain.wav,20100110.rain.marshes.wav,Rain 02 091012.wav,"Wind in a tree, close to the foliage.wav",Fountain at place pigale - Paris - France.wav,13_Rain_onGrassStone_Gutter_44_16.wav,Rain_Patter_01.wav,20070610.thunder.wav,sw_thunder_03.wav,Storm in the mountain forest of Parc regional des Cevennes_1.wav
someone has started a motorbike and drove away.,street.wav,Cicada.1.45.wav,Coming into a hospital in saturday.wav,01451 war scene arrangement 1.wav,motors-moteurs.wav,NY 176andSt.Nicholas AMB.wav,indoors empty bar noisy ambient 2.wav,Neighbourhood Ambiance.wav,rutting deer 2.wav,City Street.wav
Rain is coming heavily with thunder and the birds are chirping.,"Wind in a tree, close to the foliage.wav",very strong thunder by fresco.wav,inicio.wav,Heavy wind and rain.wav,20070610.thunder.wav,Rain And Birds Chirping Krucifix Productions Sound Effects.wav,thunderstorm_4.wav,Rain falling and thunder clapping in a storm.wav,thunder_nl.wav,sw_thunder_03.wav
A wind chime sounds while birds chirp in the background.,ambient_sound.wav,Desert at Night.wav,1_ambiente inicio.wav,spider_monkeys.wav,screech_owl.wav,Rain And Birds Chirping Krucifix Productions Sound Effects.wav,The Commons.wav,pineforest winter NL SHORT 130110_00.wav,Sk310308 chaffinch crow.wav,In an English Suburban Garden.wav
woman are laughing loudly and gang found happy with that.,lachen.wav,applause_and_whistle.wav,Baby throwing sand all over the place.wav,grilla_garden_ambience.wav,city pond ducks yell.wav,DallasWorldAquarium01.wav,20060129.scrub.04.wav,UoA_PJ120202_HighStAlleyEch.wav,Next To School in Street Ambience.wav,noise pollution in a city park.wav
A person is ringing the calling bell for two times.,templebell.wav,Bell Ring.R.wav,Wine glass hits.wav,metal-bowl-long-decay.wav,Doorsbell.wav,Bell7.wav,church bell_ljubljana.wav,bikebell.wav,3overtones.wav,Pounding a metal stake with hammer v2.wav
A person is throwing wood items in a room.,hits_bathroomStomp.wav,closing washing machine.wav,Blinds being opened and closed quickly and slowly.wav,kitchen indoor atmosphere.wav,RowanMagennis_160019_SD100_DeadBodyHitsWoodenFloor.wav,foley noisy chair moving standing up different speed.wav,door walking exit.wav,Drawers.wav,fist bang 2.wav,Walking Downstairs.wav
A household washing machine spinning while washing clothes.,dishwasher01.wav,ambiant hangar sound.wav,130915 - Interior Room - Hard Rain on Flat Roof.wav,WM_drain_pre_spin_cycle_24_96_mono.wav,indoors WC bathroom ambient room tone.wav,washing_machine_beginning.wav,jetengines.wav,Rain_Patter_01.wav,gootsteen.wav,"wind, basement, dripping water.wav"
Water is splashing and bubbling while quietly roaring in the background.,LakeWavesOct25th2015.wav,Splashing in water.wav,Waves at the edge of Bosphorus.wav,river_small_close_01.wav,WS RunningWater.wav,drainage pipe running.wav,Water on tarp 2.wav,waves and that helicopter.wav,131227_strumyk_2.wav,20130825-Water-fountain-Slavonice.wav
Someone is cleaning an object that has a slippery surface with a piece of cloth.,Foley Man Collapsing.wav,Melon Stabs (Juicy).wav,Washing short hair.wav,Brushing Hair.wav,Scraping of a Carpet with a Brush.wav,entering shower moving curtain raffle raffling foley VARIOUS TAKES.wav,Walking Downstairs.wav,"Footsteps, slippers dragging on tile.wav",icesplashes3.wav,closing washing machine.wav
A woman is talking into loudspeakers over a crowd of people and music.,Ambience outside a series of restaurants.wav,Kurla local train station Mumbai (1).wav,jf Resonant Space.wav,BigCrowdBigHall.wav,Kurla local train station Mumbai (2).wav,160718 HSN spanish fish market.wav,times_square.wav,Mall Ambient.wav,20091217.20.pedestrians.wav,Amusement Park (Ambience).wav
when typing keyboard is making a beeping noise.,Short circuit.wav,type writer.wav,telefono_en_espera.wav,DeLisa Foley clicky robot talk 02.wav,Kitchen Timer Ticking Long.wav,wine_glasses_drying_bottom_up (miroslawski.net).wav,Squeaking of door handle and rumbling of door.wav,Analog Wall Clock.wav,texting with i-phone.wav,WOF_slots5.wav
A large truck comes to a stop with its air brakes and then accelerates away.,110719_glasgowdemolish.wav,Diesel truck and small car.wav,Bus sound.wav,stoplight.wav,Engine Reving.wav,DH12_141Tram1.wav,psikedelic.wav,Boulevard with motorbike.wav,130916 General Paz y Panamericana.wav,Travers.wav
Lightning strikes two times with the first being louder.,Thunderstrikes very close.wav,NM-Mejor-Lado-Thunder-01.wav,Thunder (Olympus LS-20M).wav,0808091.wav,thunder002.wav,fireworkslong2.wav,Thunder Sounds Long.wav,very strong thunder by fresco.wav,ThreeFireworks.wav,Torden og lynild 3.wav
The wind is blowing in a tube as it makes some music.,Mouth Wind Howling.wav,synthwind.wav,bright_wind.wav,radio_am_01.wav,Synth Wind.wav,Desert at Night.wav,AMB_traffic_night_distant_02.wav,CP_Whipping_Wind_Storm_Medium01.wav,earthkiller background 1.wav,screech_owl.wav
A person is shaking the paint bottle to flow easily.,Fire crackling.wav,Pecan nuts cracked open.wav,Pills02.wav,envelope.wav,Plastic bag crumple.wav,AlexandreJourdan_2013_s2.wav,160170_Gravel_OWI.wav,Glass crushed 1.wav,wine_glasses_drying_bottom_up (miroslawski.net).wav,trolley wheels foley-mg.wav
A person is walking with longer steps in night.,footsteps-gravel-birds.wav,footsteps in woods.wav,Walking on Wood Floor.wav,Footsteps Dirt 02.wav,nia walking.wav,Footsteps on Wood floor 1.wav,3 persons walking slowly on grass noisy ambient 2.wav,20060510.walk.scrub.wav,running_forest_snow.wav,plastic foil (outdoor recording).wav
series of fingers hitting a desk/table continuously.,md1trk13.wav,hits_bathroomStomp.wav,foley noisy chair moving standing up different speed.wav,RowanMagennis_160019_SD100_DeadBodyHitsWoodenFloor.wav,pukanie1.wav,Squeaking of door handle and rumbling of door.wav,screenplayTheater__footsteps_leatherSoles-onWood.wav,settingdownglassbottle.wav,window rapping.wav,fist bang 2.wav
It is an announcement in railways and it is a woman was announcing.,Kurla local train station Mumbai (1).wav,Kurla local train station Mumbai (2).wav,UoA_NuLibraryGlassLift_1202.wav,Tea Garden Outside Ambience.wav,160718 HSN spanish fish market.wav,24 may 2011.wav,In_a_que01.wav,Ambience outside a series of restaurants.wav,Inside Car Ambience Next to School More Quiet Version.wav,110420-001_openair_cafe_karlsruhe_Schlosscafe.wav
A sleigh bell is being shaken so it jingles.,Key Jingling.wav,bikebell.wav,metallic_crackle.wav,Bell7.wav,Bell from large rabbit plush.wav,Rustling keys.wav,Bell Ring.R.wav,Wine glass hits.wav,20061214.wrench.01.wav,templebell.wav
People doing welding work at an  welding station.,balloonburner.wav,PS3F_FOZ_centro_Mufato_anuncio2_tarde.wav,3 persons walking slowly on grass noisy ambient 2.wav,PS3F_FOZ_centro_Mufato_carrinhos_tarde.wav,aup.wav,indoors ambient room tone 1.wav,Inside Car Ambience Next to School More Quiet Version.wav,Water on Coal.wav,market1.wav,md1trk18.wav
someone is to try to open a iron gate with keys.,abandoned-ballroom-objects-wood-metal.wav,entering1.wav,20091226.soft.door.wav,Coming into a hospital in saturday.wav,Squeaking of door handle and rumbling of door.wav,Bell from large rabbit plush.wav,Footsteps on Wood floor 1.wav,Key Jingling.wav,Ambience_hurricane tube_low freq.wav,kitchen indoor atmosphere.wav
someone is playing a video game who takes place in a different world.,20110823_mountain.01.wav,radio_am_01.wav,vendedor_ambulante.wav,Ousman Ramble.wav,rutting deer 2.wav,church_bell_song.wav,steps in the station.wav,110719_glasgowdemolish.wav,plastic foil (outdoor recording).wav,01451 war scene arrangement 1.wav
A machine which is cutting an object fast and loud.,JM_MACHINE_Coffee Machine 01 - Office.wav,sd_coffee3.wav,ambiant hangar sound.wav,kitchen refrigerator working.wav,refrigerator buzzing.wav,Construction Work 1 - 44.1kHz16Bit - Measurement Mirophone - Mono - TASCAM_DR40 - normalized - fade in and fade out low-3.wav,lift_relais.wav,washing_machine_beginning.wav,departing_train.wav,Machine.wav
After rain is over the remaining drops of water is falling in the ground.,Fountain at place pigale - Paris - France.wav,"Rain next to open window, dog barks in the distance.wav",Rain 02 091012.wav,Heavy wind and rain.wav,creek_tyrol_austria.wav,"Wind in a tree, close to the foliage.wav",13_Rain_onGrassStone_Gutter_44_16.wav,White Water.wav,StreamPTDMos.wav,RainFallsThruTinGutterMcCoy.wav
A person walks through a quiet area that is also populated.,3 persons walking slowly on grass noisy ambient 2.wav,footsteps-gravel-birds.wav,Footsteps on Wood floor 1.wav,footsteps in woods.wav,Footsteps Dirt 02.wav,20060510.walk.scrub.wav,20060129.scrub.04.wav,running_forest_snow.wav,Walking on Wood Floor.wav,Footsteps on Crunchy Snow.wav
A bell is being rung persistently and a young child is speaking.,toy_tower.wav,Lisbon&#39;s church.wav,Inside Servaas Church 01 100411.wav,Pounding a metal stake with hammer v2.wav,shopper_atmos.wav,Old alarm clock (ticking and ringing).wav,160718 HSN spanish fish market.wav,20101118.omnium.sanctorum.wav,Bell Ring.R.wav,church_bell_song.wav
A person is working on the steel parts.,20091226.squeaky.door.wav,Footsteps on Wood floor 1.wav,closing washing machine.wav,entering1.wav,Coming into a hospital in saturday.wav,indoors ambient room tone 1.wav,Walking Downstairs.wav,20091226.soft.door.wav,entering shower moving curtain raffle raffling foley VARIOUS TAKES.wav,door walking exit.wav
Sheep are bleating ceremoniously as a dog barks in the background.,sheep calling her baby lambs.wav,20080302.sheeps.close.wav,Sheep bleating.wav,redbarn_feeding-horses.wav,stray_dogs.wav,Ambience - Pig Pen - Day - 96kHzsssssss.wav,harbour scene 2.wav,grilla_garden_ambience.wav,City Traffic (Outdoor).wav,city pond ducks yell.wav
A train is passing by while cars drive by.,DH12_141Tram1.wav,110719_glasgowdemolish.wav,vertrek.wav,Train Mill Hill v1.wav,"Train Passing, Close, Left to Right, B.wav",AMB_Ext_Residential_Day_Stereo_002.wav,"Sredniy Nikolopeskovsky lane, evening ambiance.wav","Amtrak Crescent and Commuter Train, Left to Right.wav",istanbul tram.wav,TREIN3.wav
A loud unadjusted shaving machine that is connected to power source.,25_MIXER.wav,JM_MACHINE_Coffee Machine 01 - Office.wav,Electromagnetic Waves on a Macbook Pro.wav,nxSample-158.wav,Construction Work 1 - 44.1kHz16Bit - Measurement Mirophone - Mono - TASCAM_DR40 - normalized - fade in and fade out low-3.wav,refrigerator buzzing.wav,Coffee Machine - Brew 1.wav,bitmapnoise3.wav,stereo noise experiment 130820.wav,IRON_SLIDE.wav
A wind up device is wound and then rewound a few times.,windy day indoors windows rattle.wav,Mouth Wind Howling.wav,jetengines.wav,natural_wind.wav,bebops_wind1.wav,Neighborhood Ambiance.wav,AMB_traffic_night_distant_02.wav,CFX-20130331-UK-DorsetSeaCliff07.wav,rockonice.wav,Fake Wind - Blowing into the Mic - 30 sec.wav
Someone in an auto repair shop is tightening or loosening lug nuts with an air tool.,Construction Work 1 - 44.1kHz16Bit - Measurement Mirophone - Mono - TASCAM_DR40 - normalized - fade in and fade out low-3.wav,Electromagnetic Waves on a Macbook Pro.wav,sd_coffee3.wav,Blinds being opened and closed quickly and slowly.wav,JM_MACHINE_Coffee Machine 01 - Office.wav,Remove crashed glass.wav,nxSample-158.wav,PS3F_FOZ_centro_Mufato_carrinhos_tarde.wav,Office environment.wav,20061214.wrench.01.wav
